customer_id,batch_id,city,customer_name,customer_since,distance_km,email,ingestion_timestamp,phone,source_file,store_id,customer_age_days,customer_segment,silver_processed_at,total_orders,last_order_date,total_spent,avg_order_value,rfm_tier
C0606,20260603,Panvel,Rishi Agarwal,2024-11-10,14.0,ebhagat@example.net,2026-06-03T17:39:20.186841,0193392407,customers_S005_20260603.json,S005,570,Loyal,2026-06-03T17:41:35.996Z,0,,0.0,0.0,Occasional
C0483,20260603,Belapur,Krish Mander,2023-10-12,6.5,sarthakparmar@example.org,2026-06-03T17:39:20.186841,0215727601,customers_S005_20260603.json,S005,965,VIP,2026-06-03T17:41:35.996Z,6,2026-06-03T00:00:00.000Z,118488.0,19748.0,Occasional
C0494,20260603,Belapur,Gopal Dixit,2023-08-11,6.5,xsuresh@example.org,2026-06-03T17:39:20.186841,0247676325,customers_S005_20260603.json,S005,1027,VIP,2026-06-03T17:41:35.996Z,0,,0.0,0.0,Occasional
C0281,20260603,Belapur,Anvi Ramesh,2024-11-28,6.5,chatterjeeojasvi@example.net,2026-06-03T17:39:20.186841,0367150972,customers_S005_20260603.json,S005,552,Loyal,2026-06-03T17:41:35.996Z,18,2026-06-03T00:00:00.000Z,356688.0,19816.0,Occasional
C0065,20260603,Kharghar,Karan Rau,2024-03-01,8.0,onveer40@example.org,2026-06-03T17:39:20.186841,0536413032,customers_S005_20260603.json,S005,824,VIP,2026-06-03T17:41:35.996Z,30,2026-06-03T00:00:00.000Z,657732.0,21924.4,Gold VIP
C0038,20260603,Nerul,Irya Choudhury,2025-11-09,4.0,shankerorinder@example.org,2026-06-03T17:39:20.186841,0753073364,customers_S005_20260603.json,S005,206,Regular,2026-06-03T17:41:35.996Z,54,2026-06-03T00:00:00.000Z,958764.0,17754.88888888889,Gold VIP
C0367,20260603,Dronagiri,Lajita Rajan,2026-05-21,18.0,sanya50@example.org,2026-06-03T17:39:20.186841,0799769787,customers_S005_20260603.json,S005,13,Occasional,2026-06-03T17:41:35.996Z,12,2026-06-03T00:00:00.000Z,100668.0,8389.0,Occasional
C0461,20260603,Seawoods,Krish Saha,2026-05-17,2.0,borahaarnav@example.com,2026-06-03T17:39:20.186841,0892199499,customers_S005_20260603.json,S005,17,Occasional,2026-06-03T17:41:35.996Z,12,2026-06-03T00:00:00.000Z,106758.0,8896.5,Occasional
C0058,20260603,Turbhe,Diya Iyer,2024-02-24,9.0,noah70@example.org,2026-06-03T17:39:20.186841,0955404554,customers_S005_20260603.json,S005,830,VIP,2026-06-03T17:41:35.996Z,66,2026-06-03T00:00:00.000Z,1209882.0,18331.545454545456,Platinum VIP
C0090,20260603,Kopar Khairane,Pranav Sani,2026-05-24,7.5,rachit39@example.org,2026-06-03T17:39:20.186841,1114529030,customers_S005_20260603.json,S005,10,Occasional,2026-06-03T17:41:35.996Z,48,2026-06-03T00:00:00.000Z,564366.0,11757.625,Gold VIP
C0440,20260603,Dronagiri,Isha Ganguly,2025-11-13,18.0,hredhaangera@example.com,2026-06-03T17:39:20.186841,1133037471,customers_S005_20260603.json,S005,202,Regular,2026-06-03T17:41:35.996Z,0,,0.0,0.0,Occasional
C0045,20260603,Kopar Khairane,Daksh Rajagopal,2024-05-22,7.5,basakfalan@example.com,2026-06-03T17:39:20.186841,1241867607,customers_S005_20260603.json,S005,742,VIP,2026-06-03T17:41:35.996Z,96,2026-06-03T00:00:00.000Z,1507476.0,15702.875,Platinum VIP
C0068,20260603,Kopar Khairane,Shaurya Kannan,2024-02-20,7.5,charvi54@example.org,2026-06-03T17:39:20.186841,1363728480,customers_S005_20260603.json,S005,834,VIP,2026-06-03T17:41:35.996Z,30,2026-06-03T00:00:00.000Z,521160.0,17372.0,Gold VIP
C0086,20260603,Kopar Khairane,Isha Nazareth,2026-05-03,7.5,mahikaben@example.net,2026-06-03T17:39:20.186841,1398127199,customers_S005_20260603.json,S005,31,Occasional,2026-06-03T17:41:35.996Z,18,2026-06-03T00:00:00.000Z,290406.0,16133.666666666666,Occasional
